date,trading_symbol,target_prob,exit_signal_prob,target_model,exit_signal_model,signal,signal_strength
2024-11-13,RELIANCE,0.6056930298158884,0.5,catboost,catboost,BUY,0.6056930298158884
2024-11-13,SBIN,0.4058751722635498,0.48553528902720866,catboost,lightgbm,HOLD,
2024-11-13,SUNPHARMA,0.4384043537567861,0.47502082099395493,lightgbm,lightgbm,HOLD,
2024-11-13,TATAMOTORS,0.5835633388036287,0.21566148681304048,catboost,lightgbm,HOLD,
2024-11-13,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-11-13,ULTRACEMCO,0.8715946078300476,0.5,xgboost,catboost,BUY,0.8715946078300476
2024-11-14,AXISBANK,0.9230651859837333,0.4743760142501173,catboost,catboost,BUY,0.9230651859837333
2024-11-14,BHARTIARTL,0.8706607344834271,0.3944852685316721,catboost,catboost,BUY,0.8706607344834271
2024-11-14,ICICIBANK,0.6458624005317688,0.21490128949975873,xgboost,catboost,BUY,0.6458624005317688
2024-11-14,RELIANCE,0.6120031365882883,0.5,catboost,catboost,BUY,0.6120031365882883
2024-11-14,SBIN,0.42304143212426154,0.48553528902720866,catboost,lightgbm,HOLD,
2024-11-14,SUNPHARMA,0.4384043537567861,0.47502082099395493,lightgbm,lightgbm,HOLD,
2024-11-14,TATAMOTORS,0.5835633388036287,0.22905863942472143,catboost,lightgbm,HOLD,
2024-11-14,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-11-14,ULTRACEMCO,0.8501474261283875,0.5,xgboost,catboost,BUY,0.8501474261283875
2024-11-18,AXISBANK,0.9219498737499405,0.4743760142501173,catboost,catboost,BUY,0.9219498737499405
2024-11-18,BHARTIARTL,0.8954493705181245,0.3944852685316721,catboost,catboost,BUY,0.8954493705181245
2024-11-18,ICICIBANK,0.4539760649204254,0.2632328593698162,xgboost,catboost,HOLD,
2024-11-18,RELIANCE,0.6338514596648166,0.5,catboost,catboost,BUY,0.6338514596648166
2024-11-18,SBIN,0.4043291434974857,0.49824687946572704,catboost,lightgbm,HOLD,
2024-11-18,SUNPHARMA,0.4384043537567861,0.47502082099395493,lightgbm,lightgbm,HOLD,
2024-11-18,TATAMOTORS,0.5677006148318112,0.24437960567564251,catboost,lightgbm,HOLD,
