Feature,Importance_3,Importance_1,Importance_2,Importance_0,Mean_Importance,Std_Importance,CV,Stability,Robust
rs_nifty_60d,0.010035966737359603,0.009011355498923367,0.0073324775625047,0.005515314310993796,0.007973778527445366,0.001981960259949511,0.24855972965285222,0.7514402703471478,False
mfi_14,0.008274562863362365,0.00976572367096163,0.010565879249707071,0.003051045389396126,0.007914302793356798,0.0033783465810521785,0.426865969950169,0.573134030049831,False
month,0.017826800959657215,0.005126620485559184,0.00699610278581136,0.0016880616054939564,0.007909396459130429,0.00696749277815559,0.8809133195012803,0.11908668049871973,False
return_5d,0.006531796254657352,0.006804042991642306,0.009488392926852688,0.008593372744924882,0.007854401229519307,0.0014222686238237964,0.1810791891265429,0.8189208108734571,False
return_40d,0.008146053258460809,0.0082949228388227,0.007106359794282023,0.00766209765603258,0.007802358386899529,0.0005369149583763328,0.06881444364262863,0.9311855563573713,False
vpci_20d,0.006936893332961213,0.011343190682905355,0.004768531261451923,0.008079470553779122,0.007782021457774403,0.0027426123146503814,0.352429287722861,0.647570712277139,False
rsi_14_lag20,0.006625720181260438,0.008329352947051677,0.007426580461714652,0.008577697216806618,0.007739837701708345,0.0008923610516135235,0.11529454162677165,0.8847054583732283,False
volume,0.004725115775320281,0.005783434409785373,0.0057761382311851935,0.01439398395182252,0.007669668092028342,0.00451036380520991,0.5880780879018819,0.4119219120981181,False
stochastic_d,0.008502189570806116,0.010484655880832174,0.006847996927867254,0.004380909661714981,0.007553938010305131,0.0025855205775916395,0.3422745248686186,0.6577254751313815,False
return_ratio_20_5,0.005573554687043436,0.009137649417122331,0.007299934697578087,0.008193996294441015,0.0075512837740462175,0.0015170392257313546,0.20089818513450705,0.7991018148654929,False
sector_strength,0.007785206235153585,0.004877741642874632,0.00794016726165841,0.009569935493191944,0.007543262658219643,0.0019517919135938508,0.2587463775495621,0.7412536224504379,False
rsi_14_lag3,0.006240070137027282,0.009045058972732108,0.008516178638126403,0.006271101310181838,0.007518102264516909,0.001473785458756816,0.19603157649364053,0.8039684235063594,False
prev_volume,0.007226181188974549,0.005566333425178,0.006744138554402032,0.010533776702947329,0.007517607467875477,0.0021282176173536005,0.283097727320588,0.716902272679412,False
return_20d,0.007121820927461494,0.01108402725324763,0.009938338549265133,0.0017469505277476376,0.0074727843144304735,0.00416446799722683,0.5572846433499338,0.4427153566500662,False
rsi_14_lag10,0.010329636943562568,0.004059011352573782,0.01132443458531732,0.004163608853163546,0.0074691729336543045,0.0038987712873875292,0.5219816530987567,0.47801834690124334,False
price_change,0.006321804922363068,0.0068417902066991755,0.005938991065752748,0.010714153487134089,0.007454184920487271,0.0022045800218770274,0.29575064421099073,0.7042493557890093,False
eom_14d,0.00742490462895672,0.011110979553021894,0.008925089145715069,0.0018897051255073176,0.007337669613300251,0.003934704380310493,0.536233509281353,0.46376649071864695,False
williams_r,0.006111860404998213,0.008942383079168276,0.008939839352696046,0.005083302328064844,0.007269346291231845,0.0019755303885216607,0.27176176263996854,0.7282382373600315,False
stochastic_k,0.007005484948163669,0.009835721170328817,0.007309932637655729,0.003978978244025639,0.007032529250043464,0.0023985928320599753,0.34107114420292484,0.6589288557970752,False
volume_lag3,0.006504078500805278,0.004932244116742845,0.005637077956031719,0.010936232629611803,0.007002408300797911,0.002700185989817029,0.3856081843940077,0.6143918156059923,False
rsi_14_lag2,0.005840010706416543,0.009027532659367439,0.006134801319305751,0.006041262084306828,0.00676090169234914,0.0015160847591968137,0.22424297908194218,0.7757570209180578,False
return_1d,0.005584354041186843,0.007345866672510793,0.005597798930181856,0.008456445500874878,0.006746116286188592,0.0014086933440273462,0.20881545223728748,0.7911845477627125,False
nifty_corr_full,0.002713350485435907,0.010077360400529626,0.004117621657266636,0.009934858224835641,0.0067107976920169525,0.00384848268396058,0.5734761802149169,0.42652381978508314,False
volume_lag20,0.004477901776611304,0.008507392408782538,0.005579215293465278,0.007863553332995694,0.006607015702963704,0.0018955929795939947,0.286906076226379,0.713093923773621,False
price_acceleration,0.003388823556734802,0.004419444397151657,0.009249678361483011,0.008747759756390631,0.006451426517940026,0.002978357934561222,0.46165880989470626,0.5383411901052937,False
