Feature,Importance,Std_Importance,Stability
close_lag5,0.2,0.447213595499958,-1.2360567972158036
is_quarter_start,0.0,0.0,1.0
price_rsi_divergence,0.0,0.0,1.0
pvt,0.0,0.0,1.0
return_10d,0.0,0.0,1.0
return_1d,0.0,0.0,1.0
is_year_start,0.0,0.0,1.0
is_year_end,0.0,0.0,1.0
is_weekday_5,0.0,0.0,1.0
is_quarter_4,0.0,0.0,1.0
is_quarter_end,0.0,0.0,1.0
prev_volume,0.0,0.0,1.0
is_month_start,0.0,0.0,1.0
high_volume_signal,0.0,0.0,1.0
var,0.0,0.0,1.0
prev_close,0.0,0.0,1.0
volume_roc_1d,0.0,0.0,1.0
breakout,0.0,0.0,1.0
bollinger_middle,0.0,0.0,1.0
